block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,timestamp,sign_ratio,atom_staked_v,percent_staked,commission_amt,total_supply,v_commission,inflation_rate,community_tax,min_proposer_bonus,max_proposer_bonus,total_block_fees,n_validators
12713423,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:28:39.426961226Z,1.0,185752,64.26,16133882.300349792,314740618008364,8.0,0.1308912375013339,0.02,0.01,0.04,6378,175
12713424,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:28:46.004136204Z,1.0,185752,64.26,16134528.310906133,314740627457169,8.0,0.13089124685074,0.02,0.01,0.04,10114,175
12713425,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:28:52.291506246Z,1.0,185752,64.26,16135174.576787166,314740636905975,8.0,0.1308912562001527,0.02,0.01,0.04,6452,175
12713426,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:28:58.731760251Z,1.0,185752,64.26,16135820.592536088,314740646354782,8.0,0.1308912655496726,0.02,0.01,0.04,2779,175
12713427,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:05.029213054Z,1.0,185752,64.26,16136466.357401336,314740655803590,8.0,0.1308912748991992,0.02,0.01,0.04,0,175
12713428,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:11.664129337Z,1.0,185752,64.26,16137111.932760892,314740665252399,8.0,0.1308912842487323,0.02,0.01,0.04,8821,175
12713429,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:23.298518473Z,1.0,185752,64.26,16137758.262217997,314740674701209,8.0,0.130891293598272,0.02,0.01,0.04,1803,175
12713430,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:29.969044424Z,1.0,185752,64.26,16138403.960901417,314740684150020,8.0,0.1308913029478183,0.02,0.01,0.04,17806,175
12713431,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:36.267128763Z,1.0,185752,64.26,16139050.753033668,314740693598832,8.0,0.1308913122973713,0.02,0.01,0.04,22417,175
12713432,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:42.708918340Z,1.0,185752,64.26,16139697.860273767,314740703047645,8.0,0.1308913216469285,0.02,0.01,0.04,1845,175
12713433,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:48.857983942Z,1.0,185752,64.26,16140343.562031744,314740712496459,8.0,0.1308913309964924,0.02,0.01,0.04,9680,175
12713434,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:29:55.667183637Z,1.0,185752,64.26,16140989.79916605,314740721945274,8.0,0.1308913403460628,0.02,0.01,0.04,0,175
12713435,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-04T12:30:02.478813646Z,1.0,185752,64.26,16141635.391877595,314740731394090,8.0,0.1308913496956398,0.02,0.01,0.04,7269,175
