block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,v0self_bonded_rew_amt,v0commission_amt,community_tax,min_proposer_bonus,max_proposer_bonus,total_supply,inflation_rate,n_validators,timestamp,percent_staked,sign_ratio,v1_title,v1_id,v1_comsn,v1_stake,total_block_fees
12689497,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.255232231779,60369.86784088912,0.02,0.01,0.04,314514822154991,0.130662982958558,175,2022-11-02T15:51:02.045055480Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,0.0
12689498,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.295313805479,60631.31123275021,0.02,0.01,0.04,314514831580552,0.1306629928502765,175,2022-11-02T15:51:08.497396871Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,0.0
12689499,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.335326188144,60892.30330652978,0.02,0.01,0.04,314514841006114,0.1306630027420016,175,2022-11-02T15:51:15.113727663Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,24329.0
12689500,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.375424670896,61153.856992460176,0.02,0.01,0.04,314514850431677,0.1306630126337328,175,2022-11-02T15:51:21.737311683Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,10799.0
12689501,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.415465746386,61415.03622329719,0.02,0.01,0.04,314514859857241,0.1306630225254704,175,2022-11-02T15:51:28.155109017Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,19645.0
12689502,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.455544362126,61676.46032102837,0.02,0.01,0.04,314514869282806,0.1306630324171493,175,2022-11-02T15:51:39.300447410Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,10854.0
12689503,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.495585679482,61937.64112950898,0.02,0.01,0.04,314514878708372,0.1306630423086494,175,2022-11-02T15:51:45.660124851Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,10936.0
12689504,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.535627337115,62198.82415754122,0.02,0.01,0.04,314514888133939,0.1306630522001557,175,2022-11-02T15:51:52.159975882Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,9880.0
12689506,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.615698109253,62721.10839750534,0.02,0.01,0.04,314514906985076,0.1306630719831858,175,2022-11-02T15:52:04.911323933Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,8688.0
12689507,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.655730206589,62982.22906579955,0.02,0.01,0.04,314514916410646,0.1306630818747107,175,2022-11-02T15:52:11.249642686Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,0.0
12689508,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.735835975936,63504.74158495131,0.02,0.01,0.04,314514935261789,0.1306631016577803,175,2022-11-02T15:52:17.532510447Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,0.0
12689510,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,9.775893511674,63766.02818241264,0.02,0.01,0.04,314514944687362,0.1306631115492738,175,2022-11-02T15:52:26.427971786Z,64.1,1.0,Twinstake-Validator,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.08,75012.0,0.0
