block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,inflation_rate,total_supply,self_bonded_rew_denom,self_bonded_rew_amt,commission_denom,commission_amt,community_tax,min_proposer_bonus,max_proposer_bonus,timestamp,block_len,n_validators,atom_staked_v,percent_staked,sign_ratio,total_block_fees
12570575,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294683641602177,313400979167732,uatom,439.851733108298,uatom,814932315.8158958,0.02,0.01,0.04,2022-10-24T06:28:58.864875204Z,6.12345,175,14822218.455435,64.02,1.0,6376.0
12570576,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294683743487931,313400988474042,uatom,439.92079609383,uatom,815060274.1482382,0.02,0.01,0.04,2022-10-24T06:29:05.214338419Z,6.35,175,14822218.455435,64.02,1.0,8161.0
12570577,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.129468384537374,313400997780353,uatom,439.98987232436,uatom,815188257.0206119,0.02,0.01,0.04,2022-10-24T06:29:11.642173479Z,6.428,175,14822218.455435,64.02,1.0,12293.0
12570578,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294683947259582,313401007086665,uatom,440.058979211812,uatom,815316296.6934355,0.02,0.01,0.04,2022-10-24T06:29:17.913277171Z,6.271,175,14822218.455435,64.02,1.0,6231.0
12570579,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684049145712,313401016392978,uatom,440.128041150466,uatom,815444253.0861458,0.02,0.01,0.04,2022-10-24T06:29:24.643454819Z,6.73,175,14822218.455435,64.02,1.0,11456.0
12570580,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684151031896,313401025699292,uatom,440.197141844514,uatom,815572281.2839711,0.02,0.01,0.04,2022-10-24T06:29:31.006918411Z,6.363,175,14822218.455435,64.02,1.0,12070.0
12570581,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684354804918,313401044311923,uatom,440.33535279045,uatom,815828355.3881721,0.02,0.01,0.04,2022-10-24T06:29:37.597191053Z,6.591,175,14822218.455435,64.02,1.0,12126.0
12570583,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684456691635,313401053618240,uatom,440.404400448084,uatom,815956285.3213302,0.02,0.01,0.04,2022-10-24T06:29:50.326470203Z,6.12345,175,14822218.455435,64.02,1.0,3818.0
12570584,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684558578418,313401062924558,uatom,440.473444545496,uatom,816084208.6581923,0.02,0.01,0.04,2022-10-24T06:29:57.123169383Z,6.797,175,14822218.455435,64.02,1.0,28784.0
12570586,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.129468476235279,313401081537197,uatom,440.611733197562,uatom,816340426.7345482,0.02,0.01,0.04,2022-10-24T06:30:10.734772597Z,6.12345,175,14822218.455435,64.02,1.0,13341.0
12570587,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684966120837,313401100149840,uatom,440.800260647824,uatom,816689726.1161261,0.02,0.01,0.04,2022-10-24T06:30:17.479002722Z,6.745,175,14822218.455435,64.02,1.0,14543.0
12570588,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294684966120837,313401100149840,uatom,440.800260647824,uatom,816689726.1161261,0.02,0.01,0.04,2022-10-24T06:30:30.084053943Z,12.605,175,14822218.455435,64.02,1.0,7993.0
12570589,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685169882349,313401118762487,uatom,440.98877886048,uatom,817039008.3824782,0.02,0.01,0.04,2022-10-24T06:30:36.776880042Z,6.692,175,14822218.455435,64.02,1.0,23434.0
12570591,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685271763287,313401128068812,uatom,441.058097840248,uatom,817167441.0151318,0.02,0.01,0.04,2022-10-24T06:30:49.771819440Z,6.12345,175,14822218.455435,64.02,1.0,10596.0
12570592,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685373644291,313401137375138,uatom,441.127380477282,uatom,817295806.3127946,0.02,0.01,0.04,2022-10-24T06:30:56.261173213Z,6.49,175,14822218.455435,64.02,1.0,16604.0
12570593,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685475525324,313401146681465,uatom,441.196705984898,uatom,817424251.0400943,0.02,0.01,0.04,2022-10-24T06:31:02.941656214Z,6.68,175,14822218.455435,64.02,1.0,2162.0
12570594,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685577406423,313401155987794,uatom,441.265787229146,uatom,817552243.201772,0.02,0.01,0.04,2022-10-24T06:31:09.473555267Z,6.532,175,14822218.455435,64.02,1.0,0.0
12570595,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685679287586,313401165294124,uatom,441.334818673342,uatom,817680143.0950414,0.02,0.01,0.04,2022-10-24T06:31:16.447642100Z,6.974,175,14822218.455435,64.02,1.0,19988.0
12570596,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685781168856,313401174600455,uatom,441.403982583844,uatom,817808288.4188805,0.02,0.01,0.04,2022-10-24T06:31:22.723526821Z,6.276,175,14822218.455435,64.02,1.0,4825.0
12570597,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685883050184,313401183906787,uatom,441.47303405306,uatom,817936225.4140521,0.02,0.01,0.04,2022-10-24T06:31:29.282876015Z,6.559,175,14822218.455435,64.02,1.0,13818.0
12570598,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294685984931577,313401193213120,uatom,441.542152223094,uatom,818064285.9909903,0.02,0.01,0.04,2022-10-24T06:31:35.658880323Z,6.376,175,14822218.455435,64.02,1.0,18773.0
12570599,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686086813036,313401202519454,uatom,441.611307146792,uatom,818192414.6642807,0.02,0.01,0.04,2022-10-24T06:31:42.125541707Z,6.467,175,14822218.455435,64.02,1.0,39128.0
12570600,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686290576124,313401221132125,uatom,441.749808612566,uatom,818449027.0370429,0.02,0.01,0.04,2022-10-24T06:31:48.536287825Z,6.411,175,14822218.455435,64.02,1.0,2169.0
12570601,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686392457754,313401230438462,uatom,441.869223049422,uatom,818670275.3957686,0.02,0.01,0.04,2022-10-24T06:31:54.977090211Z,6.441,175,14822218.455435,64.02,1.0,14680.0
12570603,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686494341161,313401239744800,uatom,441.938373434188,uatom,818798395.6594279,0.02,0.01,0.04,2022-10-24T06:32:08.144087992Z,6.12345,175,14822218.455435,64.02,1.0,6762.0
12570604,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686596224622,313401249051139,uatom,442.007439320782,uatom,818926359.3667924,0.02,0.01,0.04,2022-10-24T06:32:14.793190175Z,6.649,175,14822218.455435,64.02,1.0,10360.0
12570605,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686698108092,313401258357479,uatom,442.076531951598,uatom,819054372.6252455,0.02,0.01,0.04,2022-10-24T06:32:21.769827642Z,6.976,175,14822218.455435,64.02,1.0,3474.0
12570606,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686799991627,313401267663820,uatom,442.145573522918,uatom,819182291.28182,0.02,0.01,0.04,2022-10-24T06:32:34.079466672Z,12.31,175,14822218.455435,64.02,1.0,1557.0
12570607,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294686901875227,313401276970162,uatom,442.214600883462,uatom,819310183.6089947,0.02,0.01,0.04,2022-10-24T06:32:40.500708884Z,6.421,175,14822218.455435,64.02,1.0,10294.0
12570608,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.129468710564249,313401295582849,uatom,442.352900174024,uatom,819566421.3961108,0.02,0.01,0.04,2022-10-24T06:32:47.010186627Z,6.51,175,14822218.455435,64.02,1.0,4715.0
12570610,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687207526154,313401304889194,uatom,442.421940112102,uatom,819694337.0266551,0.02,0.01,0.04,2022-10-24T06:32:56.033474565Z,6.12345,175,14822218.455435,64.02,1.0,1285.0
12570611,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687309409882,313401314195540,uatom,442.490965481032,uatom,819822225.663809,0.02,0.01,0.04,2022-10-24T06:33:02.434471025Z,6.401,175,14822218.455435,64.02,1.0,0.0
12570612,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687411293613,313401323501887,uatom,442.560107904078,uatom,819950331.1761771,0.02,0.01,0.04,2022-10-24T06:33:08.868510347Z,6.434,175,14822218.455435,64.02,1.0,7607.0
12570613,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687513177392,313401332808235,uatom,442.62942186704,uatom,820078754.5138069,0.02,0.01,0.04,2022-10-24T06:33:15.258233899Z,6.39,175,14822218.455435,64.02,1.0,0.0
12570614,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687615061229,313401342114584,uatom,442.698747814148,uatom,820207200.0553894,0.02,0.01,0.04,2022-10-24T06:33:22.030259759Z,6.772,175,14822218.455435,64.02,1.0,14886.0
12570615,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687716945126,313401351420934,uatom,442.815942093176,uatom,820424334.9560739,0.02,0.01,0.04,2022-10-24T06:33:28.677186009Z,6.647,175,14822218.455435,64.02,1.0,6102.0
12570616,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294687920713085,313401370033637,uatom,442.954220288334,uatom,820680533.658105,0.02,0.01,0.04,2022-10-24T06:33:35.185357705Z,6.508,175,14822218.455435,64.02,1.0,27129.0
12570617,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294688022597163,313401379339990,uatom,443.023264356626,uatom,820808456.9410138,0.02,0.01,0.04,2022-10-24T06:33:41.641966231Z,6.456,175,14822218.455435,64.02,1.0,3800.0
12570619,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294688124481305,313401388646344,uatom,443.09228025154,uatom,820936328.0249307,0.02,0.01,0.04,2022-10-24T06:33:55.291264929Z,6.12345,175,14822218.455435,64.02,1.0,10511.0
12570620,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0.1294688226365509,313401397952699,uatom,443.161374103426,uatom,821064343.5457535,0.02,0.01,0.04,2022-10-24T06:34:01.914924553Z,6.623,175,14822218.455435,64.02,1.0,6057.0
