validator,self_bond,commision
cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,27.007740061617994,50165999.545742065
cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,31.106037143724024,4947299.5954776555
cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,1853738.6459388733,7570889.437671661
cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,17191714.734291077,25497793.168395996
cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,43700.30264490843,3035612.469449997
cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,0.0,144736742.84109443
cosmosvaloper1v5y0tg0jllvxf5c3afml8s3awue0ymju89frut,135.39120547076163,11207478.229232788
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,16.512458146200515,2212164.385547638
cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,4450.608110763016,5479760.216720343
cosmosvaloper19lss6zgdh5vvcpjhfftdghrpsw7a4434elpwpu,0.0,108426992.44265747
cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,323692.2458290756,3163646.799366474
cosmosvaloper14k4pzckkre6uxxyd2lnhnpp8sngys9m6hl6ml7,13.516514990356882,21156255.977825165
cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,464562.11178684235,5952980.704916
cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,352825.7994186878,5584925.306390047
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,76516.43175636232,4977570.869309425
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,116017.34300276637,4242990.143285751
cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,324.4170871993847,1662225.543483287
cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,35179.65413312428,2379268.0986880064
cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,499.12042275536805,0.0
cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,164.54678915295972,411698.8191660829
cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0.0,0.0
cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,0.0,0.0
