block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,total_supply,v_commission,inflation_rate,community_tax,min_proposer_bonus,max_proposer_bonus,self_bonded_rew_amt,commission_amt,n_validators,timestamp,atom_staked_v,percent_staked,sign_ratio,total_block_fees,block_len
12685509,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477250373043,20.0,0.1306234546502942,0.02,0.01,0.04,1467.060756063808,2725789551.523081,175,2022-11-02T08:24:13.907893510Z,14865199.565244,64.1,1.0,20371.0,6.12345
12685511,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477259794627,20.0,0.1306234645675011,0.02,0.01,0.04,1467.130431824538,2725919019.534095,175,2022-11-02T08:24:26.953820457Z,14865199.565244,64.1,1.0,0.0,6.12345
12685512,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477269216212,20.0,0.1306234744847166,0.02,0.01,0.04,1467.250759825942,2726142607.0033665,175,2022-11-02T08:24:33.379473821Z,14865199.565244,64.1,1.0,3779.0,6.426
12685514,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477288059385,20.0,0.1306234943191675,0.02,0.01,0.04,1467.389954772354,2726401252.085478,175,2022-11-02T08:24:46.095332557Z,14865199.565244,64.1,1.0,1845.0,6.12345
12685515,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477297480973,20.0,0.1306235042364029,0.02,0.01,0.04,1467.459519288616,2726530513.3875885,175,2022-11-02T08:24:52.530723272Z,14865199.565244,64.1,1.0,17427.0,6.435
12685516,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477306902562,20.0,0.1306235141536447,0.02,0.01,0.04,1467.529198839808,2726659988.4418507,175,2022-11-02T08:24:58.822138031Z,14865199.565244,64.1,1.0,2741.0,6.292
12685517,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477316324152,20.0,0.1306235240708932,0.02,0.01,0.04,1467.598769985176,2726789262.061836,175,2022-11-02T08:25:05.619780803Z,14865199.565244,64.1,1.0,9254.0,6.797
12685518,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477325745743,20.0,0.1306235339881482,0.02,0.01,0.04,1467.668389217404,2726918625.0344167,175,2022-11-02T08:25:12.009014936Z,14865199.565244,64.1,1.0,0.0,6.39
12685519,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477335167335,20.0,0.1306235439054055,0.02,0.01,0.04,1467.738130010322,2727048213.8849864,175,2022-11-02T08:25:18.341971738Z,14865199.565244,64.1,1.0,4544.0,6.332
12685520,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477344588928,20.0,0.1306235538226691,0.02,0.01,0.04,1467.807714487724,2727177512.277889,175,2022-11-02T08:25:24.854505522Z,14865199.565244,64.1,1.0,0.0,6.513
12685523,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477372853713,20.0,0.1306235835744993,0.02,0.01,0.04,1468.01639540163,2727565272.7067227,175,2022-11-02T08:25:44.270934754Z,14865199.565244,64.1,1.0,25447.0,6.12345
12685524,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477382275310,20.0,0.1306235934917871,0.02,0.01,0.04,1468.086134214766,2727694857.8785625,175,2022-11-02T08:25:50.661502428Z,14865199.565244,64.1,1.0,5310.0,6.391
12685527,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477410540107,20.0,0.13062362324369,0.02,0.01,0.04,1468.396267394822,2728271131.8302283,175,2022-11-02T08:26:14.737856949Z,14865199.565244,64.1,1.0,0.0,6.12345
12685528,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,314477429383310,20.0,0.1306236430783244,0.02,0.01,0.04,1468.535563656808,2728529965.171868,175,2022-11-02T08:26:21.531277064Z,14865199.565244,64.1,1.0,13437.0,6.794
