block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,inflation_rate,total_supply,n_validators,timestamp,sign_ratio,total_block_fees
12689647,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.263893011119000000,99563.055873920089340784,0.130664466668682837,314516236000281,175,2022-11-02T16:07:44.272217828Z,1.0,0.0
12689648,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.304070625459000000,99825.125717994123917156,0.130664476560217551,314516245425991,175,2022-11-02T16:07:55.652982745Z,1.0,8971.0
12689649,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.384143554621000000,100347.424027761632661714,0.130664496343226168,314516264277414,175,2022-11-02T16:08:02.143321353Z,1.0,10259.0
12689651,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.424188131218000000,100608.626095558984390294,0.130664506234738839,314516273703127,175,2022-11-02T16:08:14.952623649Z,1.0,12148.0
12689652,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.504353022004000000,101131.524251010637478879,0.130664526017782200,314516292554556,175,2022-11-02T16:08:21.519850362Z,1.0,28752.0
12689654,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.544407026907000000,101392.787817596644213049,0.130664535909254116,314516301980272,175,2022-11-02T16:08:34.212713493Z,1.0,33662.0
12689655,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.624587967080000000,101915.790659705307432333,0.130664555692119528,314516320831707,175,2022-11-02T16:08:40.738782944Z,1.0,11017.0
12689656,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.664624170771000000,102176.938112861290549401,0.130664565583526686,314516330257426,175,2022-11-02T16:08:47.248169440Z,1.0,9551.0
12689658,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.744727184352000000,102699.432656753189600107,0.130664585366360733,314516349108867,175,2022-11-02T16:08:59.822311777Z,1.0,0.0
12689660,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,15.784775672071000000,102960.660235953439565593,0.130664595257787622,314516358534589,175,2022-11-02T16:09:12.680991695Z,1.0,0.0
