block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,inflation_rate,total_supply,n_validators,timestamp,sign_ratio,total_block_fees,block_len
12689647,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.263893011119,99563.0558739201,0.1306644666686828,314516236000281,175,2022-11-02T16:07:44.272217828Z,1.0,0.0,6.12345
12689648,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.304070625459,99825.12571799412,0.1306644765602175,314516245425991,175,2022-11-02T16:07:55.652982745Z,1.0,8971.0,11.38
12689649,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.384143554621,100347.42402776163,0.1306644963432261,314516264277414,175,2022-11-02T16:08:02.143321353Z,1.0,10259.0,6.491
12689651,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.424188131218,100608.62609555898,0.1306645062347388,314516273703127,175,2022-11-02T16:08:14.952623649Z,1.0,12148.0,6.12345
12689652,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.504353022004,101131.52425101063,0.1306645260177822,314516292554556,175,2022-11-02T16:08:21.519850362Z,1.0,28752.0,6.567
12689654,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.544407026907,101392.78781759665,0.1306645359092541,314516301980272,175,2022-11-02T16:08:34.212713493Z,1.0,33662.0,6.12345
12689655,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.62458796708,101915.7906597053,0.1306645556921195,314516320831707,175,2022-11-02T16:08:40.738782944Z,1.0,11017.0,6.526
12689656,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.664624170771,102176.93811286127,0.1306645655835266,314516330257426,175,2022-11-02T16:08:47.248169440Z,1.0,9551.0,6.51
12689658,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.744727184352,102699.43265675318,0.1306645853663607,314516349108867,175,2022-11-02T16:08:59.822311777Z,1.0,0.0,6.12345
12689660,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.784775672071,102960.66023595344,0.1306645952577876,314516358534589,175,2022-11-02T16:09:12.680991695Z,1.0,0.0,6.12345
12689661,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.864860359063,103483.03523948176,0.1306646150404318,314516377386036,175,2022-11-02T16:09:19.426683319Z,1.0,5409.0,6.746
12689663,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.904907599629,103744.2546837753,0.1306646249317637,314516386811761,175,2022-11-02T16:09:32.267278894Z,1.0,14547.0,6.12345
12689664,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.985018956153,104266.80364686532,0.1306646447144443,314516405663214,175,2022-11-02T16:09:38.583391965Z,1.0,13735.0,6.316
12689665,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,15.985018956153,104266.80364686532,0.1306646447144443,314516405663214,175,2022-11-02T16:09:44.918830444Z,1.0,7949.0,6.335
12689666,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,16.065137020454,104789.3963633309,0.1306646644971402,314516424514671,175,2022-11-02T16:09:51.694667829Z,1.0,21910.0,6.776
12689668,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,16.105165869401,105050.49584309229,0.130664674388498,314516433940401,175,2022-11-02T16:10:10.703559431Z,1.0,9898.0,6.12345
12689669,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.02,0.01,0.04,8.0,16.185305708055,105573.23058892495,0.1306646941712143,314516452791864,175,2022-11-02T16:10:16.989701169Z,1.0,0.0,6.286
