block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,timestamp,sign_ratio,atom_staked_v,percent_staked,commission_amt,inflation_rate,total_supply,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,n_validators,total_block_fees
12736509,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:04.253099335Z,1.0,2807330.434215,64.7,286965142.7461321,0.1310814279112395,314958989618755,0.02,0.01,0.04,5.0,175,9237
12736510,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:10.501462658Z,1.0,2807330.434215,64.7,286994867.7437692,0.1310814357832142,314958999087855,0.02,0.01,0.04,5.0,175,6000
12736508,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:30:57.337956342Z,1.0,2807330.434215,64.63,286965142.7461321,0.1310814279112395,314958989618755,0.02,0.01,0.04,5.0,175,6454
12736511,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:16.843962782Z,1.0,2807330.434215,64.7,287000938.06647456,0.1310814436551956,314959008556955,0.02,0.01,0.04,5.0,175,12692
12736512,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:23.183754749Z,1.0,2807330.434215,64.7,287007012.0805657,0.1310814515271788,314959018026056,0.02,0.01,0.04,5.0,175,4360
12736513,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:29.540924567Z,1.0,2807330.434215,64.7,287013080.75783736,0.1310814593991687,314959027495158,0.02,0.01,0.04,5.0,175,2071
12736514,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:35.819188093Z,1.0,2807330.434215,64.7,287019147.9693025,0.1310814672711653,314959036964261,0.02,0.01,0.04,5.0,175,24991
12736515,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:42.353380071Z,1.0,2807330.434215,64.7,287025229.86390704,0.1310814751431661,314959046433365,0.02,0.01,0.04,5.0,175,15942
12736516,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:48.743476263Z,1.0,2807330.434215,64.7,287031305.96238375,0.1310814830151735,314959055902470,0.02,0.01,0.04,5.0,175,4251
12736517,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:31:55.451756583Z,1.0,2807330.434215,64.7,287037374.572214,0.1310814908871876,314959065371576,0.02,0.01,0.04,5.0,175,24177
12736518,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:02.015220050Z,1.0,2807330.434215,64.7,287043455.9472341,0.1310814987592062,314959074840682,0.02,0.01,0.04,5.0,175,1122
12736519,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:08.294922031Z,1.0,2807330.434215,64.7,287049523.1484628,0.1310815066312315,314959084309789,0.02,0.01,0.04,5.0,175,18333
12736520,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:19.537649181Z,1.0,2807330.434215,64.7,287055600.78041106,0.1310815145032632,314959093778897,0.02,0.01,0.04,5.0,175,2779
12736521,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:25.958774818Z,1.0,2807330.434215,64.7,287061668.44914377,0.1310815223753016,314959103248006,0.02,0.01,0.04,5.0,175,2412
12736522,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:32.189825183Z,1.0,2807330.434215,64.7,287067735.8834177,0.1310815302473466,314959112717116,0.02,0.01,0.04,5.0,175,4571
12736523,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2022-11-06T07:32:38.888145767Z,1.0,2807330.434215,64.7,287073804.7013827,0.1310815381193983,314959122186227,0.02,0.01,0.04,5.0,175,15150
