block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,n_validators,total_block_fees,proposer,timestamp,sign_ratio,community_tax,min_proposer_bonus,max_proposer_bonus,atom_staked_v,percent_staked,inflation_rate,total_supply,v_commission,commission_amt,commission
12933406,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,leBg0HcTBw/pgi9sUL12vMv58Xo=,2022-11-21T11:56:38.109068301Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.133213609447351,316830388238675,20.0,1027088238.5470176,
12933407,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,bXAfpZUyaI3xa6+VIRN+jBTLsxY=,2022-11-21T11:56:45.015384378Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332136262800527,316830397918978,20.0,1027193918.610444,20.0
12933408,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,nPiuH9UH+XoFQlBYL/5SkiyNNwU=,2022-11-21T11:56:51.804230738Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332136431127607,316830407599283,20.0,1027299496.2697473,20.0
12933409,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,6AB0DGjIGzA0XDriumOPpW/2fu8=,2022-11-21T11:56:58.163469329Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332136599454184,316830417279589,20.0,1027405037.865272,20.0
12933410,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-21T11:57:04.482088237Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332136936107528,316830436640206,20.0,1027713022.362059,20.0
12933411,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-21T11:57:10.899953528Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332136936107528,316830436640206,20.0,1027713022.362059,20.0
12933412,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,HO0wcz0WJciatphndgbQ43s2dqk=,2022-11-21T11:57:16.994528709Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332137104434295,316830446320517,20.0,1027818599.2551816,20.0
12933413,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,nfjjOMheh5vISwqqKKCLQxvVtUg=,2022-11-21T11:57:23.262416584Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332137272761126,316830456000829,20.0,1027924079.5192826,20.0
12933414,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,sxWB6f9XEEVTE3Di1IlaLW/t7Ps=,2022-11-21T11:57:30.653993186Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332137441087966,316830465681143,20.0,1028029627.8203266,20.0
12933415,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,ISI0dc6G88fNXphaqI/CSinJeBM=,2022-11-21T11:57:37.124932290Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332137609414815,316830475361459,20.0,1028135188.543234,20.0
12933416,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,AMzuz9AbLTM6G1ar98/4prjtJbE=,2022-11-21T11:57:43.644734358Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.133213794606871,316830494722095,20.0,1028346373.6920784,20.0
12933417,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,AMzuz9AbLTM6G1ar98/4prjtJbE=,2022-11-21T11:57:54.840446136Z,0.9885714285714284,0.02,0.01,0.04,11523044.536456,62.08,0.133213794606871,316830494722095,20.0,1028346373.6920784,20.0
12933418,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,XXQZZsEntvZsCcyG3J5KwuKCY8c=,2022-11-21T11:58:01.102680432Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332138114395752,316830504402415,20.0,1028452003.4272324,20.0
12933419,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,0tRY+SCey4yiqrHZngZhG4Eqh5c=,2022-11-21T11:58:07.288134741Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332138282722856,316830514082737,20.0,1028557600.8437502,20.0
12933420,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,sRZ9BDfbnfDVM+4qzeSBBxOb3S4=,2022-11-21T11:58:13.564308033Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332138451050025,316830523763060,20.0,1028663135.704203,20.0
12933421,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,zAWIKXj8X91qdyFofhTAKZrgBLg=,2022-11-21T11:58:19.723053089Z,0.9942857142857144,0.02,0.01,0.04,11523044.536456,62.08,0.1332138619377191,316830533443385,20.0,1028768812.7176251,20.0
12933422,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,9Zc0qJanaJQ2vDQiJE/YYq4YnFw=,2022-11-21T11:58:26.198661353Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332138787704422,316830543123711,20.0,1028874369.6868144,20.0
12933423,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,UdslZiBO4mZCfqimy3GYNasXC+k=,2022-11-21T11:58:32.953139753Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332138956031717,316830552804039,20.0,1028979874.1540704,20.0
12933424,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,xTJ9ZM30oEvhIG5l9bYdRJI2MOY=,2022-11-21T11:58:39.224289922Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332139124359076,316830562484368,20.0,1029085406.6249988,20.0
12933425,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,MZIPm8Ojm2aHbMfW1eWJ4QOTvw4=,2022-11-21T11:58:46.001180584Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332139292686501,316830572164699,20.0,1029190991.3222312,20.0
12933426,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,u3a8YyLHUzp8zTrxwInHs5cfsBI=,2022-11-21T11:58:52.269445661Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.133213946101399,316830581845031,20.0,1029296705.7080656,20.0
12933427,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-21T11:58:58.575802790Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332139629340997,316830591525365,20.0,1029402392.1665024,20.0
12933428,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-21T11:59:04.853085866Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332139797668069,316830601205700,20.0,1029604879.5850816,20.0
12933429,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,07wmsaneyNVrCjuOzSMRDsTNRac=,2022-11-21T11:59:10.893725162Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332139965995206,316830610886037,20.0,1029710425.2568376,20.0
12933430,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,7VCeeAl+EwapH+3o6Ft10Gvd9uM=,2022-11-21T11:59:17.058461456Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332140134322407,316830620566375,20.0,1029816015.4184632,20.0
12933431,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,nPiuH9UH+XoFQlBYL/5SkiyNNwU=,2022-11-21T11:59:23.369221585Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332140302649674,316830630246715,20.0,1029921586.6639944,20.0
12933432,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,aPJweVkNysw6wcSJKhoAjzSPWW8=,2022-11-21T11:59:29.838618212Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332140639304398,316830649607399,20.0,1030132728.5775492,20.0
12933433,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,+OUDK5jV0yRC4yW2lwtDT3UuET4=,2022-11-21T11:59:36.189429672Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332140639304398,316830649607399,20.0,1030132728.5775492,20.0
12933434,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,2fikG3gqpqZq3IH5U5I8fc57YAE=,2022-11-21T11:59:42.677611680Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332140807631855,316830659287743,20.0,1030238263.6144505,20.0
12933435,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,2fikG3gqpqZq3IH5U5I8fc57YAE=,2022-11-21T11:59:53.906615171Z,0.9942857142857144,0.02,0.01,0.04,11523044.536456,62.08,0.1332140975957967,316830668968089,20.0,1030343865.6640131,20.0
12933436,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,/V1U4Nnkdo/qTA3/3In6lrZlfzI=,2022-11-21T12:00:00.358159175Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332141144284144,316830678648436,20.0,1030449350.5885196,20.0
12933437,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,CZ4rCVgzMa/eNeX6lmc9LKfeoxY=,2022-11-21T12:00:06.586833149Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332141312610319,316830688328785,20.0,1030554978.9260472,20.0
12933438,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,175,0,Z5uJeFlzvpTU/fi2b4SpKZMukcU=,2022-11-21T12:00:12.842031886Z,1.0,0.02,0.01,0.04,11523044.536456,62.08,0.1332141480936552,316830698009135,20.0,1030766061.6047994,20.0
