block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,commission,proposer,timestamp,sign_ratio,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,percent_staked,atom_staked_v,total_supply,inflation_rate,commission_amt,total_block_fees,n_validators
12737881,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,+USWk75IKU7P/0f1r7PDHB36sxM=,2022-11-06T10:03:53.836847934Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314971982026069,0.1310922295662161,1175542276.1435,0,175
12737874,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,,0tRY+SCey4yiqrHZngZhG4Eqh5c=,2022-11-06T10:03:08.597660775Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.979542,314971925204464,0.1310921823422249,1175444063.2610943,0,175
12737875,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-06T10:03:15.193317809Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.979542,314971925204464,0.1310921823422249,1175444063.2610943,0,175
12737876,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,3qELGQGaE7F9GrnK4XMhza47BIc=,2022-11-06T10:03:21.621954025Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.979542,314971934674729,0.1310921902128789,1175460432.126251,0,175
12737877,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,C0LkfxVOJNEBhLsS4yNHqsYca4A=,2022-11-06T10:03:28.138683501Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.979542,314971944144995,0.1310921980835395,1175476798.4785893,0,175
12737878,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,Wlnch0b9cn/d1cv1y7kMb2Fsz5s=,2022-11-06T10:03:34.432361474Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314971953615262,0.1310922059541998,1175493171.9738948,0,175
12737879,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,Z5uJeFlzvpTU/fi2b4SpKZMukcU=,2022-11-06T10:03:40.864314525Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314971963085530,0.1310922138248659,1175509530.8188643,0,175
12737880,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,USBWWacX3/uW4FT4vREIcw4Xrqc=,2022-11-06T10:03:47.157880365Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314971972555799,0.1310922216955386,1175525912.0075743,0,175
12737882,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,07wmsaneyNVrCjuOzSMRDsTNRac=,2022-11-06T10:04:00.198766501Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314971991496340,0.1310922374369003,1175558640.7474487,0,175
12737883,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,g/R9d0ew9jOmug30m33PYfkKobA=,2022-11-06T10:04:06.489693436Z,1.0,0.02,0.01,0.04,9.0,64.69,4204885.985898,314972000966611,0.1310922453075911,1175575006.5326009,0,175
