block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,proposer,timestamp,sign_ratio,community_tax,min_proposer_bonus,max_proposer_bonus,atom_staked_v,percent_staked,inflation_rate,commission_amt,total_supply,v_commission,n_validators,total_block_fees,commission
12756640,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,7VCeeAl+EwapH+3o6Ft10Gvd9uM=,2022-11-07T21:03:21.301014122Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312434751408058,45435678.45299071,315149728746968,8.0,175,0,
12756644,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-07T21:03:47.673020513Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435092043602,45438266.4802107,315149766693162,8.0,175,0,
12756645,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,sxWB6f9XEEVTE3Di1IlaLW/t7Ps=,2022-11-07T21:03:54.074310930Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435177202543,45438912.58645938,315149776179713,8.0,175,0,8.0
12756646,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,sxWB6f9XEEVTE3Di1IlaLW/t7Ps=,2022-11-07T21:04:05.394028302Z,0.9714285714285714,0.02,0.01,0.04,185753.0001,64.51,0.1312435262361551,45439558.36453797,315149785666265,8.0,175,0,8.0
12756647,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,sRZ9BDfbnfDVM+4qzeSBBxOb3S4=,2022-11-07T21:04:11.977585115Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435347520626,45440203.953495614,315149795152818,8.0,175,0,8.0
12756648,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2fikG3gqpqZq3IH5U5I8fc57YAE=,2022-11-07T21:04:18.310944372Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435432679684,45440853.107390925,315149804639372,8.0,175,0,8.0
12756649,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,9Zc0qJanaJQ2vDQiJE/YYq4YnFw=,2022-11-07T21:04:24.754355222Z,0.9371428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435517838773,45441499.00390852,315149814125926,8.0,175,0,8.0
12756650,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,JURdDrNT6QUKsR7GGX1dy2EZhts=,2022-11-07T21:04:31.492146601Z,0.9714285714285714,0.02,0.01,0.04,185753.0001,64.51,0.1312435602997916,45442145.82728099,315149823612481,8.0,175,0,8.0
12756651,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,yzP4IXwHlS7KGPU8H+r5E+kUMTc=,2022-11-07T21:04:37.832540989Z,0.9714285714285714,0.02,0.01,0.04,185753.0001,64.51,0.1312435688157125,45442791.45360357,315149833099037,8.0,175,0,8.0
12756652,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0tRY+SCey4yiqrHZngZhG4Eqh5c=,2022-11-07T21:04:44.141826932Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435773316374,45443438.89247556,315149842585594,8.0,175,0,8.0
12756653,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,YKqsuC+rnZDLLfCqDM5FVRAe2Qw=,2022-11-07T21:04:50.549155646Z,0.9657142857142856,0.02,0.01,0.04,185753.0001,64.51,0.131243585847569,45444085.2793631,315149852072152,8.0,175,0,8.0
12756654,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,Fw/v1tf0ppqucKJEFfxOLJKN4uU=,2022-11-07T21:04:57.033719578Z,0.9771428571428572,0.02,0.01,0.04,185753.0001,64.51,0.1312435943635039,45444732.76210675,315149861558711,8.0,175,0,8.0
