block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,timestamp,sign_ratio,percent_staked,atom_staked_v,v_commission,self_bonded_rew_amt,commission_amt,community_tax,min_proposer_bonus,max_proposer_bonus,inflation_rate,total_supply,n_validators,total_block_fees,block_len
12706187,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:20.728850588Z,1.0,64.24,185752.0,8.0,712.199746742518,11193959.866720088,0.02,0.01,0.04,0.1308233228137426,314672271586425.0,175.0,21528.0,6.12345
12706188,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:27.600137589Z,1.0,64.24,185752.0,8.0,712.239797519816,11194606.780805716,0.02,0.01,0.04,0.1308233322341463,314672281028277.0,175.0,1801.0,6.872
12706189,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:34.073120667Z,1.0,64.24,185752.0,8.0,712.279764811438,11195252.346401658,0.02,0.01,0.04,0.1308233416545565,314672290470130.0,175.0,25310.0,6.473
12706190,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:46.174714512Z,1.0,64.24,185752.0,8.0,712.31983160194,11195899.519138118,0.02,0.01,0.04,0.1308233510749723,314672299911984.0,175.0,11103.0,12.101
12706191,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:52.434446217Z,1.0,64.24,185752.0,8.0,712.3598382700129,11196545.720756209,0.02,0.01,0.04,0.1308233604953948,314672309353838.0,175.0,7378.0,6.26
12706192,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:58:59.223186061Z,1.0,64.24,185752.0,8.0,712.399829172998,11197191.6677311,0.02,0.01,0.04,0.1308233793362595,314672328237549.0,175.0,8671.0,6.789
12706193,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:59:05.431044626Z,1.0,64.24,185752.0,8.0,712.439825552431,11197837.703163484,0.02,0.01,0.04,0.1308233793362595,314672328237549.0,175.0,18335.0,6.208
12706194,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:59:11.692222158Z,1.0,64.24,185752.0,8.0,712.479862835937,11198484.399292683,0.02,0.01,0.04,0.1308233887567012,314672337679406.0,175.0,0.0,6.261
12706195,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:59:18.096141257Z,1.0,64.24,185752.0,8.0,712.519822526554,11199129.842114544,0.02,0.01,0.04,0.1308233981771494,314672347121264.0,175.0,6800.0,6.404
12706196,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000.0,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-03T22:59:25.111107896Z,1.0,64.24,185752.0,8.0,712.559811000066,11199775.749847751,0.02,0.01,0.04,0.1308234075976002,314672356563123.0,175.0,1546.0,7.015
