block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,total_block_fees,proposer,timestamp,sign_ratio,community_tax,min_proposer_bonus,max_proposer_bonus,atom_staked_v,percent_staked,total_supply,v_commission,commission_amt,inflation_rate,n_validators,commission
12763285,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,WS8Xu4zzaqNYZ2Wfiw6eduEbz7o=,2022-11-08T09:20:00.388143213Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212786279902,8.0,49984358.42662764,0.1312973154740635,175.0,
12763286,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,1e3JNDFMibRZUmIOnJkrHckBhEI=,2022-11-08T09:20:06.792501820Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212795772240,8.0,49985002.17089464,0.1312973234182998,175.0,8.0
12763287,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,ezou/ls/zfgZ/PUmBzFM7+R1S7Y=,2022-11-08T09:20:13.168238302Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212805264579,8.0,49985645.91824821,0.1312973313625428,175.0,8.0
12763288,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,G7KWcA1vzyMYqtotCY5NQEebbH4=,2022-11-08T09:20:19.717980264Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212814756919,8.0,49986289.36537785,0.1312973393067924,175.0,8.0
12763289,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,dQuDzDkHZ+NhhNTNSuoyEEYzxhA=,2022-11-08T09:20:26.362398915Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212824249259,8.0,49986933.256437615,0.1312973472510487,175.0,8.0
12763290,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,AMzuz9AbLTM6G1ar98/4prjtJbE=,2022-11-08T09:20:32.679220624Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212833741600,8.0,49987577.199895926,0.1312973551953117,175.0,8.0
12763291,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-08T09:20:38.930529167Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212843233942,8.0,49988221.067772895,0.1312973631395718,175.0,8.0
12763292,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-08T09:20:50.004704666Z,0.9885714285714284,0.02,0.01,0.04,185753.0002,64.68,315212852726285,8.0,49988865.6081542,0.1312973710838223,175.0,8.0
12763293,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,7VCeeAl+EwapH+3o6Ft10Gvd9uM=,2022-11-08T09:20:56.137365785Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212862218629,8.0,49989509.88753118,0.1312973790280794,175.0,8.0
12763294,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,nPiuH9UH+XoFQlBYL/5SkiyNNwU=,2022-11-08T09:21:02.524181523Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212871710974,8.0,49990153.98810926,0.1312973869723432,175.0,8.0
12763295,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,9Zc0qJanaJQ2vDQiJE/YYq4YnFw=,2022-11-08T09:21:08.882377650Z,0.9942857142857144,0.02,0.01,0.04,185753.0002,64.68,315212881203320,8.0,49990797.719196856,0.1312973949166089,175.0,8.0
12763296,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,bXAfpZUyaI3xa6+VIRN+jBTLsxY=,2022-11-08T09:21:15.631098625Z,0.9942857142857144,0.02,0.01,0.04,185753.0002,64.68,315212890695666,8.0,49991441.72216319,0.1312974028608726,175.0,8.0
12763297,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,0,1o7sDS6CSPHsZM21he22HspDK9g=,2022-11-08T09:21:22.424103137Z,1.0,0.02,0.01,0.04,185753.0002,64.68,315212900188013,8.0,49992085.30525083,0.1312974108051429,175.0,8.0
