block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,n_validators,val_0_name,val_0_address,val_0_commission_pct,val_1_name,val_1_address,val_1_commission_pct,val_2_name,val_2_address,val_2_commission_pct,total_block_fees,proposer,timestamp,sign_ratio,val_0_stake,val_1_stake,val_2_stake,community_tax,min_proposer_bonus,max_proposer_bonus,percent_staked,val_2_com_amt,val_0_com_amt,val_1_com_amt,total_supply,inflation_rate,block_len,appended_block
12944196,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,0,UdslZiBO4mZCfqimy3GYNasXC+k=,2022-11-22T07:47:24.841163767Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906201288.796468,775419461.0760945,175957872.46702117,316934927556844,0.1333961245021745,6.5,0
12944197,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,12780,HO0wcz0WJciatphndgbQ43s2dqk=,2022-11-22T07:47:31.166887441Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906219397.116784,775525043.575003,175958553.23272362,316934937253609,0.1333961412387039,6.325,0
12944198,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,5000,HO0wcz0WJciatphndgbQ43s2dqk=,2022-11-22T07:47:42.138118815Z,0.9885714285714284,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906237529.306979,775630765.2497891,175959234.89579225,316934946950375,0.1333961579752398,10.972,0
12944199,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,26350,nBfJT3MTu01uBkKHvu3l04iOiFU=,2022-11-22T07:47:48.356680310Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906255646.9702,775736402.2234993,175959916.01273265,316934956647143,0.1333961747117823,6.218,0
12944200,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,16255,9Zc0qJanaJQ2vDQiJE/YYq4YnFw=,2022-11-22T07:47:55.195734449Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906273804.507434,775842271.686909,175960598.62869996,316934966343912,0.1333961914483282,6.839,0
12944201,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,12593,+0+yWmG0k6W/jjzUtej1tATajiM=,2022-11-22T07:48:02.191171725Z,0.9314285714285714,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906292024.854457,775948507.3695159,175961283.60594377,316934976040683,0.1333962081848776,6.996,0
12944202,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,13344,ppNdh3uXdsRblu6uUmlZo7mlqxo=,2022-11-22T07:48:10.795995169Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906310156.706365,776054227.0718855,175961965.25629485,316934985737455,0.1333962249214332,8.604,0
12944203,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,19003,wjVmIrSVcllhtbIBo4LdV80zBew=,2022-11-22T07:48:17.319758712Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906328289.962326,776159954.960741,175962646.95943,316934995434229,0.1333962416579953,6.524,0
12944204,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,3782,Wlnch0b9cn/d1cv1y7kMb2Fsz5s=,2022-11-22T07:48:23.914941110Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906346433.789981,776265744.4889815,175963329.0599983,316935005131004,0.1333962583945632,6.595,0
12944205,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,14785,rC1WBXzYR2Xm++MYl5CT6ORKoY8=,2022-11-22T07:48:30.211511813Z,1.0,11523651.791095,185753.946342,4392015.8348,0.02,0.01,0.04,62.1,4906364549.19489,776371368.2953637,175964010.0920395,316935014827781,0.1333962751311375,6.297,0
